artist.hotttnesss,song.hotttnesss,duration,key,loudness,tempo,terms,year,bars_confidence,bars_start,beats_confidence,beats_start,key_confidence,location,release.name,title,artist.name
37568,453399083,181976771,2.0,-14402,134531,heavy metal,0,76,128597,0.0,39457,601,Arizona,"Parker's Birthday ""Live in Texas",Electric Phase / Hot 'n' Ready / Pack It Up 'n' Go / Cherry / Out In The Street / Let It Roll / Too Hot To Handle,UFO
399265,655953232,128088771,8.0,-15357,88341,progressive rock,0,136,31327,544,31327,0.2,"Volos, Greece",3 Originals,Heaven And Hell (Part II),Vangelis
1705925,257515404,126641587,7.0,-8473,89467,serialism,0,239,59691,0.0,59691,523,"Malmi?1/2, Belgium",Eight Parabolic Studies,Parabolics Studies 6,Henri Pousseur
2232475,301672873,125392934,2.0,-11973,74183,free jazz,0,686,101704,491,35493,0.37,Not available,And Now...,911-544,The Revolutionary Ensemble
2359896,252080527,122242567,8.0,-21036,145259,meditation,0,163,189813,88,106124,888,Not available,Kaufen lassen - Beziehungs-Management,Subliminal mit Naturgeraeuschen,Kurt Tepperwein
2650315,464152439,114303955,10.0,-20536,171.78,opera,0,208,2473424,244,4732,939,"Salzburg, Austria",Violin Concerto_ Op.77 Etc.,Variations Sur Un Theme De Haydn Op51,Herbert Von Karajan
3008559,257515404,113094485,4.0,-25458,79266,serialism,0,267,248048,591,92361,301,"Malmi?1/2, Belgium",Electronic experimental and microtonal 1953-1999,"Racine dix-neuviA""me de huit-quarts",Henri Pousseur
3008559,661382924,106179873,4.0,-19304,131056,grunge,0,15,69518,0.68,69518,155,"London, England",Nevermind_ It's An Interview,Nevermind_ It's An Interview,Nirvana
3065186,499445835,103019057,0.0,-18.91,70649,hardcore punk,1982,78,170869,0.48,1629,587,"Los Angeles, CA",Everything Went Black,Crass Commercialism,Black Flag
3065186,558022089,102386893,4.0,-13806,126.57,blues-rock,1968,92,9054,518,1234,327,Not available,U.S. Tour '72,Still a Fool,Groundhogs
3065186,338074486,98455465,1.0,-4177,65009,gabba,2001,43,105282,688,10558,571,Not available,Brain Patch Error,"mixture of noize (part two: ""walter sobchak"" - live extract)",Aphasia
3078629,407373149,93800444,5.0,-7227,102606,hip house,0,54,109557,0.38,109557,674,Wisconsin,Power,Always And Forever (Bff) (Power Album Version),Raze
3078629,265861049,91297914,8.0,-13025,70608,easy listening,0,611,38195,611,38195,0.0,Not available,EMI Comedy - Mel Blanc,Playing James Mason,Mel Blanc
3138661,536788886,86183138,2.0,-20288,81302,grunge,0,0.88,633928,0.0,487608,0.0,Georgia,Phase 3: Thrones And Dominions,Thrones And Dominions (Album),Earth
3138661,717851349,83466404,7.0,-6003,96711,sympho black metal,2007,22,81811,721,19599,671,"Kitee, Finland",Dark Passion Play,The Poet And The Pendulum,Nightwish
3138661,341265841,83424608,0.0,-22875,199792,hip pop,0,301,218384,556,7018,221,New York,Piano Concertos; Grieg & Schumann,Concerto In A Minor_ Op 54: First Movement - Allegro Affettuoso - Andante Espressivo - Tempo I - Cadenza - Allegro Molto,Solomon
3138661,383733535,82805506,2.0,-6223,128.45,dance pop,2001,173,217944,0.56,170437,859,"Paddington, London, England",Seal Best Remixes 1991-2005,I'm Alive (BT & Sasha Mix),Seal
3138661,24717095,81737098,10.0,-17135,103.27,blues-rock,0,194,185189,482,125794,659,Harlingen TX,Shorty's Blues,History Of Jody,Guitar Shorty
3138661,477889304,80958649,7.0,-3894,129703,hip hop,0,83,239192,694,20724,112,"Croix-des-Bouquets, Haiti",CARNIVAL VOL. II Memoirs of an Immigrant,Touch Your Button Carnival Jam,Wyclef Jean featuring will.i.am and Melissa JimA(c)nez;Wyclef Jean featuring Machel Montano_ Daniela Mercury_ Black Alex_ and Djakout Mizik
3138661,509157228,79362567,11.0,-12593,127923,techno,1994,13,36898,1.0,36898,5,"Berlin, Germany",Phylyps Trak II,Phylyps Trak II/II,Basic Channel
3138661,539536826,78160934,11.0,-18626,144354,space music,0,321,86251,0.0,86251,0.49,Atlanta Ga,Thousand Star,Nostalgia for Infinity,Jonn Serrie
