artist.hotttnesss,tempo,familiarity,duration,loudness,terms,mode,key,year,title,artist.name,artist_mbtags,artist_mbtags_count,bars_confidence,bars_start,beats_confidence,beats_start,key_confidence,end_of_fade_in,latitude,location,longitude,mode_confidence,release.id,release.name,similar,song.hotttnesss,song.id,start_of_fade_out,tatums_confidence,tatums_start,terms_freq,time_signature,time_signature_confidence,artist.id
0.416173065,110189,0.706827671,342.56934,-11939,Indie,1,6.0,1972,Do You Finally Need A Friend,Terry Callier,classic pop and rock,1.0,145,0.96908,708,0.42073,381,63,41.88415,Chicago,-87.63241,538,228326,Occasional Rain,ARTB5PP1187FB523B7,0.413739836,SOGNCJP12A58A80271,333154,462,0.13836,0.985011245,3.0,353,ARB29H41187B98F0EF
0.452789477,138007,0.560557984,484.62322,-15335,Indie,0,4.0,0,The Emperor Falls,John Wesley,,0.0,42,0.56075,0.0,0.56075,283,28172,27.94017,Brandon,-82.32547,363,463514,The Emperor Falls,ARRJTPR11F4C8473CF,0.377531645,SOLLHMX12AB01846DC,480363,57,0.56075,1.0,4.0,893,AR1Y2PT1187FB5B9CE
0.418216518,130.1,0.640807102,164.80608,-10922,Indie,1,10.0,1964,Twist and Shout,The Shangri-Las,,0.0,812,0.10131,812,0.10131,254,0.0,40.7038,"Queens, NY",-73.83168,42,643400,Best of The Shangri-Las,ARXY7M01187B9B7611,0.443291312,SOYTPEP12AB0180E7B,156177,879,0.10131,0.922774628,1.0,0.0,ARAJPHH1187FB5566A
0.384611084,160839,0.523714637,133.32853,-9983,Indie,1,4.0,1992,It Makes No Difference Now,Billie Jo Spears,,0.0,0.0,0.24118,0.0,0.24118,384,0.0,30.08615,"Beaumont, TX",-94.10158,402,663761,20 Of Her Best,AR7HM181187FB3CFC1,0.0,SOGXHEG12AB018653E,130009,515,0.04851,0.984993496,1.0,0.0,AR0RCMP1187FB3F427
0.426317956,41993,0.79360508,173.66159,-7762,Indie,1,7.0,0,Laws Patrolling (Album Version),Mike Jones (Featuring CJ_ Mello & Lil' Bran),,0.0,616,0.40866,616,0.40866,299,0.0,37.15735675013362,"Houston, TX",-63.933357868519515,464,12882,Who Is Mike Jones?,ARNJJXJ11F50C4EA81,,SOOLYAZ12A6701F4A6,164908,536,0.05133,1.0,1.0,0.0,AREBBGV1187FB523D2
0.392733676,189646,0.501544777,313.12934,-9512,Indie,1,9.0,1997,A?DA3nde va Chichi?,Sierra Maestra,,0.0,291,0.76895,219,0.09309,724,0.0,37.15735675013362,Not available,-63.933357868519515,364,270281,Tibiri Tabara,AR2HU081187FB5B263,,SOGOSOV12AF72A285E,307688,372,0.09309,1.0,3.0,674,ARGUVEV1187B98BA17
0.488019842,130586,0.809323793,450.84689,-9063,Indie,0,4.0,0,"Barking Dogs (From ""Piouhgd"")",Butthole Surfers,texas,1.0,35,0.2438,604,0.2438,726,467,29.42449,"San Antonio, TX",-98.49462,367,244586,Piouhgd + Widowermaker!,ARCDZ0K1187FB43757,0.593943076,SOJXVAH12A8C139700,426104,267,0.09307,1.0,4.0,0.42,ARPQ4Z01187FB3A736
0.41168896,128292,0.632559542,303.09832,-8879,Indie,0,8.0,0,OUTE ENA EFHARISTO,Despina Vandi,,0.0,791,0.10104,895,0.10104,532,67,37.15735675013362,Not available,-63.933357868519515,516,157648,Profities,ARQLM691187FB4CFA7,,SOVXMTN12A8C135A18,294818,764,0.10104,1.0,4.0,0.83,ARNQAVF11F4C844C04
0.382651971,90932,0.597541218,128.83546,-17699,Indie,1,3.0,0,Midnight Swim,Javier Navarrete,,0.0,359,0.77461,773,0.77461,0.0,0.0,37.15735675013362,Not available,-63.933357868519515,251,644631,Cracks,ARU52PB1187FB58E46,0.394394856,SORSECL12AB0182267,121423,302,0.77461,0.842995301,3.0,1.0,ARXUT4W1187FB48BEB
0.294861262,89667,0.495445922,456.30649,-19478,Indie,1,1.0,0,In A Subtle Way,Jacob Young,jazz and blues,1.0,238,0.92047,908,0.23284,611,241,37.15735675013362,Not available,-63.933357868519515,546,730551,Pieces Of Time,ARM8XWM1187FB4E225,0.0,SOOGFBZ12AC3DF7FF2,451315,0.0,0.06094,0.878319228,4.0,747,ARDD1RC1187B9B52B4
0.393121934,115061,0.527865076,198.73914,-7469,Indie,1,7.0,2007,Spin,Scarlet's Remains,,0.0,379,0.73465,268,0.28881,673,0.0,34.05349,California - LA,-118.24532,579,709879,The Palest Grey,ARNM1OG1187FB3DE32,0.450992312,SOMSBGZ12AB018C4CB,193016,461,0.14044,0.974033549,4.0,731,ARLGWFM1187FB4AC9F
0.467538444,115887,0.668674533,95.68608,-2022,Indie,1,2.0,2003,Burning In The Aftermath,The Suicide Machines,,0.0,987,0.90181,471,0.38075,421,0.0,42.33168,"Detroit, MI",-83.04792,589,706005,A Match & Some Gasoline,ARGAFOR11F50C47F57,0.528782481,SONYRZV12AB018AF70,87806,0.84,0.12215,1.0,4.0,744,ARWYVP51187B98C516
0.735765693,139333,0.814829656,271.49016,-10358,Indie,0,9.0,0,Angie (1993 Digital Remaster),The Rolling Stones,british,4.0,797,0.15016,797,0.15016,301,171,51.50632,"London, England",-0.12714,392,42595,Jump Back - The Best Of The Rolling Stones_ '71-'93,ARSAIUN1187FB398D3,0.83449262,SONQBUB12A6D4F8ED0,263784,18,0.15016,0.999983058,1.0,0.0,ARFCUN31187B9AD578
0.350078579,117271,0.482356043,226.66404,-12716,Indie,1,0.0,0,Sabor Guajiro,Roberto Torres,,0.0,16,0.86592,917,0.34973,863,311,37.15735675013362,Not available,-63.933357868519515,671,782470,Lo Mejor con La Orq. Broadway,AR1PNWN1187FB4A404,0.0,SOHGKJW12AC468A8BD,219.51,646,0.34973,1.0,4.0,453,AR6YDKV1187B989230
0.442765842,102428,0.661080168,190.48444,-15663,Indie,1,3.0,1995,Human Cannonball,Loudon Wainwright III,easy listening soundtracks and musicals,1.0,77,1.56662,799,0.37554,544,258,35.91463,"Chapel Hill, NC",-79.05661,596,28723,Grown Man,ARYXGMM1187B9AC285,0.510119314,SOINBCU12A6D4F94C0,177029,537,0.37554,1.0,4.0,496,ARV1JVD1187B9AD195
0.466628889,89984,0.701180874,277.78567,-6944,Indie,1,2.0,2004,Glory Be,R.L. Burnside,delta blues,1.0,2,0.93659,885,275,0.0,0.24,34.36401,"Oxford, MS",-89.51877,0.0,557761,A Bothered Mind,AR3KUCG1187B9A0BEA,0.482137585,SOTWVQT12A58A79650,267453,963,275,0.980350471,4.0,0.0,AR7TTS41187B9B42D3
0.544257506,116721,0.73379894,248.78975,-7805,Indie,1,1.0,1992,Crossfire,Stevie Ray Vaughan,jazz and blues,1.0,8,0.74277,1.0,0.2077,754,183,32.77815,"Dallas, TX",-96.7954,597,417945,Greatest Hits,ARZBUQ41187FB39D29,,SOTSEJY12AB0180F56,246.19,867,0.2077,0.999791772,4.0,522,ART3O5Z1187B9AB043
0.452817838,123142,0.590692918,195.3171,-10.7,Indie,1,7.0,2002,I Can't Be Satisfied,John Hammond,folk,1.0,58,0.32071,651,0.32071,0.98,0.0,37.15735675013362,Not available,-63.933357868519515,753,575531,Bluesman,ARWBYRS1187FB3DE02,,SOTSETT12AB01863B8,187617,672,0.32071,1.0,4.0,678,AR5U94U1187FB5CDCF
0.394217199,141919,0.665322162,175.72526,-10.93,Indie,1,0.0,2006,Nashville Parthenon,Casiotone For The Painfully Alone,dance and electronica,1.0,2,0.74575,706,0.32409,522,734,37.15735675013362,Not available,-63.933357868519515,474,234425,Etiquette,AREX9GE1187FB41987,0.785892288,SOTUNMH12A6D4FA3E6,168699,1.0,0.11431,0.877629027,4.0,445,ARRJNTE1187FB44E12
0.33457736,95596,0.50407567,217.23383,-9493,Indie,0,10.0,1995,Cocain Ducks,Ec8or,,0.0,24,0.47086,0.0,0.47086,5,1042,52.51607,"Berlin, Germany",13.37698,305,505301,Ec8or,AR3TG3X1187FB4D577,,SOEPPKB12AB018418B,213496,283,0.15342,1.0,4.0,1.0,AR6IRG41187B9A4D98
0.479308459,154953,0.717670525,344.05832,-9253,Indie,1,11.0,1974,Human Being,The New York Dolls,punk,1.0,877,0.12284,877,0.12284,425,68,37.15735675013362,"New York, NY",-63.933357868519515,486,74655,Too Much Too Soon,AR9B5JX1187FB55D84,0.561692411,SOGKIWV12A6D4F86C4,335029,0.56,0.12284,0.998786077,1.0,0.0,ARS1OWB1187B99EEAD
0.427914247,86091,0.669726188,251.42812,-12009,Indie,1,7.0,2009,The More I See You,Eliane Elias,brazilian,1.0,68,2.90946,675,0.14772,391,71,-23.56287,"Sao Paulo, Brazil",-46.65466,319,322532,Bossa Nova Stories,ARCXKY91187B9ACA99,0.43483809,SOPHYIS12AAF3B35A3,237598,228,0.14772,1.0,5.0,551,ARGMXQW1187FB54C34
0.412240601,90218,0.569741152,269.7922,-11043,Indie,1,7.0,1997,Certain Things We Do,Lost Boyz,american,1.0,267,0.34237,1.0,0.34237,715,218,37.15735675013362,"South Jamaica, Queens",-63.933357868519515,614,14592,Love_ Peace & Nappiness,ARE352A1187FB40607,0.405115722,SOFHBAR12A6701D0FE,257416,466,0.34237,1.0,4.0,1.0,AROEL1B1187B988B90
0.40439264,133144,0.640048357,206.05342,-11506,Indie,0,11.0,1977,Forming,The Germs,los angeles,1.0,276,0.05314,276,0.05314,641,0.0,34.05349,"Los Angeles, CA",-118.24532,597,515081,Germicide,ARNFTGS1187B9A465F,,SOCPRKM12AB018A2FD,206053,0.48,0.05314,1.0,1.0,0.0,AR8W8DN1187FB35ED0
0.383475745,205317,0.397772876,190.04036,-14179,Indie,1,2.0,0,MafuA!,Yamandu Costa,,0.0,599,0.31943,462,0.02559,105,0.0,37.15735675013362,Not available,-63.933357868519515,433,765750,MafuA!,AR9RJJI1187B9930AB,,SOFGHAM12AB0186412,176924,626,0.02559,1.0,4.0,0.0,ARUWLCL1187FB549B8
0.500691341,180149,0.643182773,241162,-8531,Indie,1,9.0,1986,Driving Home For Christmas,Chris Rea,rock,1.0,386,0.42366,0.0,0.0889,222,549,37.15735675013362,"Middlesbrough, England",-63.933357868519515,403,17220,The Road To Hell Part 2,ARFWLXM1187B9B5EE5,0.767727748,SODHVES12A6701CE6B,230342,587,0.0889,0.961375214,4.0,0.0,AR3793X1187FB50CB3
0.338414819,102538,0.411421048,122.64444,-8541,Indie,0,0.0,1966,Spooks In Space,Perrey And Kingsley,,0.0,102,0.49054,0.0,0.49054,0.61,0.99,37.15735675013362,Not available,-63.933357868519515,489,617077,Vanguard Visionaries,ARMNSQF1187FB57CB7,0.43483809,SOXIATP12AAF3B2184,109627,411,0.05812,0.947930118,4.0,869,ARINEWW1187FB5577E
0.523699078,84164,0.75100762,207.0722,-6629,Indie,1,0.0,1985,Tous Les GarASSons Et Les Filles,Eurythmics,british,2.0,453,8.99358,777,2.31778,442,2583,51.50632,"London, England",-0.12714,371,278999,Be Yourself Tonight,ARGE7G11187FB37E05,0.38293509,SOGNQWU12A8AE4868F,202757,516,2.31778,0.947914829,4.0,853,ARDGB6U1187FB3AD07
0.266275286,125013,0.400433514,273.52771,-6305,Metal,1,1.0,2000,Sudanese Dance,Xcultures,,0.0,23,1.21595,1.0,0.25377,652,2177,37.15735675013362,Not available,-63.933357868519515,694,466577,One World One People,AREI7EO1187B98BE33,0.199238262,SOHMMMC12AB0181C42,268893,641,0.25377,0.942755424,4.0,1.0,ARNIFX51187FB418EA
0.337507289,113277,0.477364753,298.84036,-9998,Metal,1,5.0,0,Where The Thunder Roars (Tales Of Wonder Album Version),White Heart,,0.0,0.0,0.36873,443,0.36873,596,19093,37.15735675013362,Not available,-63.933357868519515,567,148547,Tales Of Wonder,ARIYJXD1187B98C70E,0.265861049,SOVJXVJ12A8C13517D,289.46,0.0,0.16818,1.0,4.0,872,ARCCRTI11F4C845308
0.36366811,96979,0.617870116,161.38404,-9161,Metal,0,5.0,1997,Wanna Be A Player,Heavy D / McGruff,,0.0,36,0.98426,883,0.36334,665,165,18.11526,"Jamaica, West Indies",-77.27348,606,423012,Waterbed Hev,ARX1QYS1187B9A1F82,0.237733942,SOFZCTA12AB0188D8F,161384,262,0.05327,0.892334368,4.0,895,ARNVH8S1187FB52F86
0.579988982,140995,0.744641246,209.29261,-4865,Metal,1,8.0,0,Panama (Remastered Album Version),Van Halen,classic pop and rock,1.0,812,0.34761,812,0.34761,455,0.0,37.15735675013362,"Pasadena, CA",-63.933357868519515,0.48,7133,The Best Of Both Worlds,ARZK3VD1187B99EB47,0.82448213,SOLRYQR12A670215BF,206623,775,0.14268,0.999932033,1.0,0.41,ARNLO5S1187B9B80CC
1.005941966,105206,0.845601887,229.61587,-4882,Metal,0,11.0,2004,Let's Get It Started,Black Eyed Peas,pop and chart,1.0,933,1.1904,692,0.63902,205,0.0,37.15735675013362,"Los Angeles, CA",-63.933357868519515,332,358442,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,ARV4KO21187FB38008,0.624425493,SOCHRXB12A8AE48069,213664,0.41,0.36332,1.0,4.0,1.0,ARTDQRC1187FB4EFD4
0.598458501,63017,0.905776889,426.89261,-12951,Metal,0,0.0,2000,Metal,Nine Inch Nails,industrial rock,7.0,18,1.76242,1.0,0.80838,0.05,286,41.50471,"Cleveland, OH",-81.69074,395,15567,Things Falling Apart,ARC4K2E1187B9B6FDA,0.635536649,SOKBBXO12A6701DEA0,399.9,1.0,0.33137,0.999945289,4.0,378,ARK9TRQ1187B99C095
