PC1,PC2,PC3,PC4,PC5,PC6,term
-108730902263436,14291955860027,-102789649846418,-851758578193293,156411162740252,-78051494879347,heavy metal
-781859693437064,665163742604364,657602211613171,558584003194248,203418381854645,-46271154646135,progressive rock
-773936280458121,118575999841469,637946208634384,-588502095085436,-102670948040795,-454377738831417,serialism
-759876004820852,185065244316648,-67033515428292,-10003927463232,194006765957642,-448789420999357,free jazz
-720046776498244,201531013129193,750205450033074,-166572338594902,183550856980713,-429342240051771,meditation
-689706781339477,242050587129673,176064303360562,133520891502965,154114157452993,-383226129931869,opera
-659932256695445,324882372929615,-313633815657852,-480839107980849,180819591723181,-377531331499915,serialism
-64154168114556,814384554170414,-598637269554821,293368725622296,259960423617652,-335947042613061,grunge
-658532749236231,-647191351829849,-142436422471755,847939938760274,-866258095824574,-316912879545808,hardcore punk
-634298418595829,166420689267636,124514560469172,191403226023497,732315226970375,-314019141424302,blues-rock
-619299592229679,864343145164225,-980321983773081,380294678533468,-863476880845012,-290261617378832,gabba
-587542868463105,396787102778118,-866784016290075,-142248531066009,101417730171196,-262025888860092,hip house
-559782101581438,157402005921657,101198993355568,-200565605605362,280554156314862,-247377928257983,easy listening
-521088366713359,175465592445172,-829368638289081,570389190775068,187255175442324,-21922529464588,grunge
-540277923164463,-826986724430824,241781028149143,917945464103922,908716616143213,-200736015512178,sympho black metal
-486706828780622,170355823373587,-172476488004559,-192944956693682,227052711622426,-202902797181004,hip pop
-529193570669648,137610025181555,-449330762906419,158643425256173,-903145105854087,-198614182476788,dance pop
-492885901478182,323368444656548,206920874659266,13070525423803,-370593102645482,-191555604982129,blues-rock
-520701435090986,-617224551634138,266505764993897,-33211131187483,100911517233243,-185581012965268,hip hop
-496455700549258,224633173069232,139452959617184,-407979149569153,14144779450505,-17610577400299,techno
-4774354680848,442386045601942,133762206239852,-644431282370877,236756321834825,-16947544858709,space music
-494810904861674,-237436704651857,645327100645428,-410457866004684,292981587251378,-163374074892362,symphonic rock
-467920318148671,17389434484388,-138131601597246,268991073202404,138268860793597,-16560818901039,opera
-496600062167062,478904826129195,-677030706206175,256903170686818,157343744910223,-158125302526549,post-hardcore
-460540564921275,10959287500726,543691657246902,-578515619128479,60112356330323,-148820974815605,progressive house
-451025784939383,122944236211546,102747478642058,-124100191305128,108768949342523,-147287464955752,meditation
-471888046984271,-114490773897099,105581680157541,-571939564351275,199888327880705,-144367748188749,alternative rock
-464567349494482,-195157158274042,802887611182,-137169816160356,37941070057767,-141759249440235,electro
-472248558561279,-306634236034906,380718594770263,-310735954429706,152423534565757,-141474232762211,progressive house
