artist.hotttnesss,artist.id,artist.name,artist_mbtags,artist_mbtags_count,bars_confidence,bars_start,beats_confidence,beats_start,duration,end_of_fade_in,familiarity,key,key_confidence,latitude,location,longitude,loudness,mode,mode_confidence,release.id,release.name,similar,song.hotttnesss,song.id,start_of_fade_out,tatums_confidence,tatums_start,tempo,terms,terms_freq,time_signature,time_signature_confidence,title,year,,,,,
0.416173065,ARB29H41187B98F0EF,Terry Callier,classic pop and rock,1.0,145,0.96908,708,0.42073,342.56934,63,0.706827671,6.0,381,41.88415,Chicago,-87.63241,-11939,1,538,228326,Occasional Rain,ARTB5PP1187FB523B7,0.413739836,SOGNCJP12A58A80271,333154,462,0.13836,110189,alternative dance,0.985011245,3.0,353,Do You Finally Need A Friend,1972,,,,,
0.452789477,AR1Y2PT1187FB5B9CE,John Wesley,,0.0,42,0.56075,0.0,0.56075,484.62322,28172,0.560557984,4.0,283,27.94017,Brandon,-82.32547,-15335,0,363,463514,The Emperor Falls,ARRJTPR11F4C8473CF,0.377531645,SOLLHMX12AB01846DC,480363,57,0.56075,138007,alternative dance,1.0,4.0,893,The Emperor Falls,0,,,,,
0.418216518,ARAJPHH1187FB5566A,The Shangri-Las,,0.0,812,0.10131,812,0.10131,164.80608,0.0,0.640807102,10.0,254,40.7038,"Queens, NY",-73.83168,-10922,1,42,643400,Best of The Shangri-Las,ARXY7M01187B9B7611,0.443291312,SOYTPEP12AB0180E7B,156177,879,0.10131,130.1,alternative dance,0.922774628,1.0,0.0,Twist and Shout,1964,,,,,
0.384611084,AR0RCMP1187FB3F427,Billie Jo Spears,,0.0,0.0,0.24118,0.0,0.24118,133.32853,0.0,0.523714637,4.0,384,30.08615,"Beaumont, TX",-94.10158,-9983,1,402,663761,20 Of Her Best,AR7HM181187FB3CFC1,0.0,SOGXHEG12AB018653E,130009,515,0.04851,160839,alternative dance,0.984993496,1.0,0.0,It Makes No Difference Now,1992,,,,,
0.426317956,AREBBGV1187FB523D2,Mike Jones (Featuring CJ_ Mello & Lil' Bran),,0.0,616,0.40866,616,0.40866,173.66159,0.0,0.79360508,7.0,299,37.15735675013362,"Houston, TX",-63.933357868519515,-7762,1,464,12882,Who Is Mike Jones?,ARNJJXJ11F50C4EA81,,SOOLYAZ12A6701F4A6,164908,536,0.05133,41993,alternative dance,1.0,1.0,0.0,Laws Patrolling (Album Version),0,,,,,
0.392733676,ARGUVEV1187B98BA17,Sierra Maestra,,0.0,291,0.76895,219,0.09309,313.12934,0.0,0.501544777,9.0,724,37.15735675013362,Not available,-63.933357868519515,-9512,1,364,270281,Tibiri Tabara,AR2HU081187FB5B263,,SOGOSOV12AF72A285E,307688,372,0.09309,189646,alternative dance,1.0,3.0,674,A?DA3nde va Chichi?,1997,,,,,
0.488019842,ARPQ4Z01187FB3A736,Butthole Surfers,texas,1.0,35,0.2438,604,0.2438,450.84689,467,0.809323793,4.0,726,29.42449,"San Antonio, TX",-98.49462,-9063,0,367,244586,Piouhgd + Widowermaker!,ARCDZ0K1187FB43757,0.593943076,SOJXVAH12A8C139700,426104,267,0.09307,130586,alternative dance,1.0,4.0,0.42,"Barking Dogs (From ""Piouhgd"")",0,,,,,
0.41168896,ARNQAVF11F4C844C04,Despina Vandi,,0.0,791,0.10104,895,0.10104,303.09832,67,0.632559542,8.0,532,37.15735675013362,Not available,-63.933357868519515,-8879,0,516,157648,Profities,ARQLM691187FB4CFA7,,SOVXMTN12A8C135A18,294818,764,0.10104,128292,alternative dance,1.0,4.0,0.83,OUTE ENA EFHARISTO,0,,,,,
0.382651971,ARXUT4W1187FB48BEB,Javier Navarrete,,0.0,359,0.77461,773,0.77461,128.83546,0.0,0.597541218,3.0,0.0,37.15735675013362,Not available,-63.933357868519515,-17699,1,251,644631,Cracks,ARU52PB1187FB58E46,0.394394856,SORSECL12AB0182267,121423,302,0.77461,90932,alternative dance,0.842995301,3.0,1.0,Midnight Swim,0,,,,,
0.294861262,ARDD1RC1187B9B52B4,Jacob Young,jazz and blues,1.0,238,0.92047,908,0.23284,456.30649,241,0.495445922,1.0,611,37.15735675013362,Not available,-63.933357868519515,-19478,1,546,730551,Pieces Of Time,ARM8XWM1187FB4E225,0.0,SOOGFBZ12AC3DF7FF2,451315,0.0,0.06094,89667,alternative dance,0.878319228,4.0,747,In A Subtle Way,0,,,,,
